 16:50:27 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:27 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:27 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:27 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:27 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:27 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:27 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:28 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:28 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:28 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:28 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:28 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:28 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:28 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:28 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:28 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:28 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:28 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:28 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:28 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:28 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:28 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:28 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:28 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:28 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:28 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:28 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:28 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:29 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:29 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:29 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:29 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:29 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:29 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:29 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:29 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:29 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:29 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:29 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:29 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:29 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:29 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:29 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:29 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:29 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:29 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:30 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:30 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:30 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:30 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:30 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:30 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:30 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:30 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:30 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:30 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:30 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:30 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:30 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:30 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:30 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:30 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:30 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:30 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:30 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:30 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:30 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:31 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:31 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:31 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:31 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:31 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:31 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:31 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:31 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:31 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:31 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:31 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:31 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:31 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:31 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:31 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:31 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:31 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:31 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:32 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:32 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:32 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:32 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:32 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:32 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:32 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:32 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:32 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:32 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:32 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:32 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:32 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:32 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:32 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:32 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:32 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:32 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:32 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:32 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:32 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:33 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:33 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:33 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:33 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:33 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:33 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:33 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:33 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:33 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:33 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:33 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:33 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:33 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:33 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:33 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:33 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:33 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:33 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:34 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:34 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:34 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:34 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:34 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:34 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:34 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:34 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:34 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:34 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
 16:50:34 up  1:40,  3 users,  load average: 0,37, 0,25, 0,24
